Composition (A.M.%);S-to-L Ratio (%);Comma gap (µm);Viscosity (Pas);Mass Loading (mg cm-2) ;Porosity (%);
94;64,9919617926612;300;7,69;35,3311757532884;47,6076767133441;
94;64,9919617926612;300;7,69;34,7646305417705;47,6408442186362;
94;64,9919617926612;300;7,69;35,8977209648064;48,5957979299761;
94;64,9919617926612;300;7,69;36,8891750849628;48,3584771282136;
94;64,9919617926612;300;7,69;35,0479031475295;49,5237745718383;
94;64,9919617926612;300;7,69;35,6144483590474;48,7078323543696;
94;60,0225714037677;200;3,74;18,5467642618941;52,5073163741014;
94;60,0225714037677;200;3,74;19,2549263184765;53,0944168307528;
94;60,0225714037677;200;3,74;17,6261535883369;52,9379239204965;
94;60,0225714037677;200;3,74;19,7506397580842;51,4137548442117;
94;60,0225714037677;200;3,74;19,4673749354513;51,1499112151343;
94;60,0225714037677;200;3,74;19,396558729793;51,8109530116388;
94;60,0225714037677;200;3,74;18,6883966732106;52,1446383777219;
94;60,0225714037677;200;3,74;19,3257425241348;52,4589949694707;
94;60,0225714037677;300;4,56;25,486752416402;51,2143568300078;
94;60,0225714037677;300;4,56;25,770017239035;51,7789764935636;
94;60,0225714037677;300;4,56;26,8322603239086;51,8443102965736;
94;60,0225714037677;300;4,56;28,8859302879977;53,8819979053689;
94;60,0225714037677;300;4,56;26,1949144729844;52,4077577084286;
94;60,0225714037677;300;4,56;26,6906279125921;52,2013636047863;
94;60,0225714037677;300;4,56;27,9653196144405;52,6311965698858;
94;60,0225714037677;300;4,56;27,9653196144405;52,9497493838072;
94;60,0225714037677;400;5,49;34,8344915632902;55,2393229657297;
94;60,0225714037677;400;5,49;33,7722484784165;52,9819058612948;
94;60,0225714037677;400;5,49;34,4095943293407;51,5554141933957;
94;60,0225714037677;400;5,49;36,6757129104045;50,7485714343851;
94;60,0225714037677;400;5,49;35,7551022368474;50,2213551465039;
94;60,0225714037677;400;5,49;35,8967346481638;50,0241729525903;
94;60,0225714037677;400;5,49;37,3130587613287;50,000040048836;
94;60,0225714037677;400;5,49;36,7465291160628;51,0215345663442;
94;63,006833712984;200;5;21,5909556525445;50,7102487816382;
94;63,006833712984;200;5;22,299088012418;50,5378127874338;
94;63,006833712984;200;5;22,5115277203801;50,0222882627243;
94;63,006833712984;200;5;21,9450218324812;50,354921107098;
94;63,006833712984;200;5;22,0866483044559;50,3933454006825;
94;63,006833712984;200;5;22,0158350684686;50,2397152307185;
94;63,006833712984;200;5;22,0158350684686;50,4634575183501;
94;63,006833712984;200;5;22,0158350684686;50,5079647442995;
94;63,006833712984;300;6,13;32,4961939945971;49,0876788489313;
94;63,006833712984;300;6,13;32,7794469385465;48,3202969033165;
